fold,model_name,precision,recall,f1,sensitivity,false_positive_rate
0,logistic_regression,1.0,1.0,1.0,1.0,0.0
0,svm,1.0,1.0,1.0,1.0,0.0
0,random_forest,1.0,1.0,1.0,1.0,0.0
1,logistic_regression,1.0,1.0,1.0,1.0,0.0
1,svm,0.9900990099009901,1.0,0.9950248756218906,1.0,0.009615384615384616
1,random_forest,1.0,1.0,1.0,1.0,0.0
2,logistic_regression,1.0,0.9848484848484849,0.9923664122137404,0.9848484848484849,0.0
2,svm,1.0,0.9949494949494949,0.9974683544303797,0.9949494949494949,0.0
2,random_forest,1.0,0.98989898989899,0.9949238578680203,0.98989898989899,0.0
3,logistic_regression,1.0,0.9698492462311558,0.9846938775510204,0.9698492462311558,0.0
3,svm,1.0,0.949748743718593,0.9742268041237113,0.949748743718593,0.0
3,random_forest,1.0,0.9798994974874372,0.9898477157360406,0.9798994974874372,0.0
4,logistic_regression,1.0,0.805,0.8919667590027701,0.805,0.0
4,svm,0.647887323943662,0.92,0.7603305785123967,0.92,0.5
4,random_forest,0.9803921568627451,1.0,0.9900990099009901,1.0,0.02
